name,planet_status,mass,mass_error_min,mass_error_max,mass_sini,mass_sini_error_min,mass_sini_error_max,radius,radius_error_min,radius_error_max,orbital_period,orbital_period_error_min,orbital_period_error_max,semi_major_axis,semi_major_axis_error_min,semi_major_axis_error_max,eccentricity,eccentricity_error_min,eccentricity_error_max,inclination,inclination_error_min,inclination_error_max,angular_distance,discovered,updated,omega,omega_error_min,omega_error_max,tperi,tperi_error_min,tperi_error_max,tconj,tconj_error_min,tconj_error_max,tzero_tr,tzero_tr_error_min,tzero_tr_error_max,tzero_tr_sec,tzero_tr_sec_error_min,tzero_tr_sec_error_max,lambda_angle,lambda_angle_error_min,lambda_angle_error_max,impact_parameter,impact_parameter_error_min,impact_parameter_error_max,tzero_vr,tzero_vr_error_min,tzero_vr_error_max,k,k_error_min,k_error_max,temp_calculated,temp_calculated_error_min,temp_calculated_error_max,temp_measured,hot_point_lon,geometric_albedo,geometric_albedo_error_min,geometric_albedo_error_max,log_g,publication,detection_type,mass_detection_type,radius_detection_type,alternate_names,molecules,star_name,ra,dec,mag_v,mag_i,mag_j,mag_h,mag_k,star_distance,star_distance_error_min,star_distance_error_max,star_metallicity,star_metallicity_error_min,star_metallicity_error_max,star_mass,star_mass_error_min,star_mass_error_max,star_radius,star_radius_error_min,star_radius_error_max,star_sp_type,star_age,star_age_error_min,star_age_error_max,star_teff,star_teff_error_min,star_teff_error_max,star_detected_disc,star_magnetic_field,star_alternate_names
HAT-P-16 b,Confirmed,4.193,0.094,0.094,,,,1.289,0.066,0.066,2.77596,3e-06,3e-06,0.0413,0.0004,0.0004,0.036,0.004,0.004,86.6,0.7,0.7,0.000176,2010,2013-07-22,214.0,8.0,8.0,,,,,,,2455027.59293,0.00031,0.00031,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,,,,,HAT-P-16,9.575,42.4630556,10.8,,,,,235.0,10.0,10.0,0.17,0.08,0.08,1.218,0.039,0.039,1.237,0.054,0.054,F8,2.0,0.8,0.8,6158.0,80.0,80.0,,,
HAT-P-17 b,Confirmed,0.534,0.018,0.018,,,,1.01,,,10.338523,,,0.0882,,,0.346,,,89.2,,,0.00098,2010,2013-05-31,201.0,,,,,,,,,2454804.246,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,,,,,HAT-P-17,324.5375,30.4886111,10.54,,,,,90.0,3.0,3.0,0.0,,,0.857,0.039,0.039,0.837,,,K,7.8,,,5246.0,,,,,
HAT-P-18 b,Confirmed,0.183,0.032,0.034,,,,0.947,0.044,0.044,5.508029,4.2e-06,4.2e-06,0.0559,0.0007,0.0007,0.106,0.084,0.15,88.79,0.21,0.21,0.000337,2010,2015-11-12,120.0,56.0,56.0,,,,,,,2454715.02254,0.00039,0.00039,2454717.65,0.13,0.13,132.0,15.0,15.0,0.324,0.057,0.057,,,,,,,841.0,,,,,,,,2.734,Published in a refereed paper,Primary Transit,,,HAT-18b,,HAT-P-18,256.35,33.0125,12.76,,,,,166.0,9.0,9.0,0.1,8.0,8.0,0.77,0.031,0.031,0.717,0.026,0.026,K,12.4,6.4,6.4,4870.0,50.0,50.0,,,
HAT-P-19 b,Confirmed,0.292,0.018,0.018,,,,1.132,0.072,0.072,4.008784,7e-07,7e-07,0.0466,0.0008,0.0008,0.067,0.042,0.042,88.51,0.22,0.22,0.000217,2010,2015-08-26,256.0,77.0,77.0,,,,,,,2455091.535,0.00015,0.00015,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,,,,,HAT-P-19,9.5166667,34.7116667,12.9,,,,,215.0,15.0,15.0,0.23,0.08,0.08,0.842,0.042,0.042,0.82,0.048,0.048,K,8.8,5.2,5.2,4990.0,130.0,130.0,,,
HAT-P-2 b,Confirmed,8.74,0.26,0.26,,,,0.951,0.053,0.053,5.6334729,6.1e-06,6.1e-06,0.0674,0.00081,0.00081,0.5171,0.0033,0.0033,90.0,0.93,0.93,0.000571,2007,2012-09-20,185.22,0.95,0.95,2454213.4794,0.003,0.003,,,,2454387.49375,0.00074,0.00074,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,,,,,HAT-P-2,245.15,41.0480556,8.71,,,,,118.0,8.0,8.0,0.04,0.05,0.05,1.34,0.09,0.09,1.54,0.12,0.12,F8,2.7,0.5,0.5,6414.0,51.0,51.0,,,
HAT-P-20 b,Confirmed,7.246,0.187,0.187,,,,0.867,0.033,0.033,2.875317,4e-06,4e-06,0.0361,0.0005,0.0005,0.015,0.0005,0.0005,81.9,0.1,0.1,0.000516,2010,2017-02-13,317.0,130.0,130.0,,,,,,,2456708.35626,8.8e-05,8.8e-05,,,,172.0,6.9,6.9,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,,,,,HAT-P-20,111.9166667,24.3363889,11.34,,,,,70.0,3.0,3.0,0.35,0.08,0.08,0.756,0.028,0.028,0.694,0.21,0.21,K7,6.7,3.8,3.8,4595.0,80.0,80.0,,,
HAT-P-21 b,Confirmed,4.063,0.161,0.161,,,,1.024,0.092,0.092,4.124461,7e-06,7e-06,0.0494,0.0007,0.0007,0.228,0.016,0.016,87.2,0.7,0.7,0.000194,2010,2014-09-28,300.0,3.0,3.0,,,,,,,2454996.41312,0.00069,0.00069,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,,,,,HAT-P-21,171.275,41.0280556,11.46,,,,,254.0,19.0,19.0,0.01,0.08,0.08,0.947,0.042,0.042,1.105,0.083,0.083,G3,10.2,2.5,2.5,5588.0,80.0,80.0,,,
HAT-P-22 b,Confirmed,2.147,0.061,0.061,,,,1.08,0.058,0.058,3.21222,9e-06,9e-06,0.0414,0.0005,0.0005,0.016,0.009,0.009,73.6,3.7,3.7,0.000505,2010,2015-08-20,156.0,66.0,66.0,,,,,,,2456706.58936,0.0009,0.0009,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,,,,,HAT-P-22,155.6833333,50.1283333,9.73,,,,,82.0,3.0,3.0,0.24,0.08,0.08,0.916,0.035,0.035,1.04,0.044,0.044,G5,12.4,2.6,2.6,5302.0,80.0,80.0,,,
HAT-P-23 b,Confirmed,2.09,0.11,0.11,,,,1.368,0.09,0.09,1.212884,2e-05,2e-05,0.0232,0.0002,0.0002,0.106,0.044,0.044,85.1,1.5,1.5,5.9e-05,2010,2011-05-19,118.0,25.0,25.0,,,,,,,2454852.26464,0.00018,0.00018,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,,,,,HAT-P-23,306.125,16.7622222,11.94,,,,,393.0,25.0,25.0,0.16,0.03,0.03,1.13,0.05,0.05,1.29,0.05,0.05,G5,4.0,1.0,1.0,5924.0,30.0,30.0,,,
HAT-P-24 b,Confirmed,0.685,0.033,0.033,,,,1.242,0.067,0.067,3.35524,7e-06,7e-06,0.0465,0.0006,0.0006,0.067,0.024,0.024,88.6,0.7,0.7,0.000152,2010,2012-07-04,197.0,36.0,36.0,,,,,,,2455216.97667,0.00028,0.00028,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,,,,,HAT-P-24,108.825,14.2622222,11.82,,,,,306.0,20.0,20.0,-0.16,0.08,0.08,1.191,0.042,0.042,1.317,0.068,0.068,F8,2.8,0.6,0.6,6373.0,80.0,80.0,,,
HAT-P-25 b,Confirmed,0.567,,,,,,1.19,,,3.652836,,,0.0466,,,0.032,,,87.6,,,0.000157,2010,2013-05-31,271.0,,,,,,,,,2455176.85173,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,,,,,HAT-P-25,48.4375,25.1975,13.19,,,,,297.0,13.0,13.0,0.31,0.08,0.08,1.01,0.032,0.032,0.959,0.037,0.037,G5,3.2,2.3,2.3,5500.0,80.0,80.0,,,
HAT-P-26 b,Confirmed,0.0585,0.00717,0.00717,,,,0.5647,0.0517,0.0517,4.234516,1.5e-05,1.5e-05,0.0479,0.0006,0.0006,0.124,0.06,0.06,88.6,0.9,0.9,0.000357,2010,2019-03-25,54.0,165.0,165.0,,,,,,,2455304.65122,0.00035,0.00035,,,,,,,,,,,,,,,,,,,,,,,,,Submitted to a professional journal,Primary Transit,,,,"CH4, CO, CO2, CrH, H2O, ScH, TiH",HAT-P-26,213.156404179,4.06003612014,11.74,,,,,134.0,8.0,8.0,-0.04,0.08,0.08,0.816,0.033,0.033,0.788,0.043,0.043,K1,9.0,4.9,4.9,5079.0,88.0,88.0,,,
HAT-P-27 b,Confirmed,0.66,0.033,0.033,,,,1.055,0.036,0.036,3.0395803,1.5e-06,1.5e-06,0.0403,0.0005,0.0005,0.078,0.047,0.047,85.08,0.07,0.07,0.000198,2011,2018-07-24,63.0,64.0,64.0,,,,,,,2455186.01991,0.00044,0.00044,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,,,WASP-40 b,,HAT-P-27,222.7666667,5.9472222,12.21,,,,,204.0,14.0,14.0,0.29,0.1,0.1,0.945,0.035,0.035,0.898,0.039,0.039,G8,4.4,2.6,2.6,5300.0,90.0,90.0,,,WASP-40
HAT-P-28 b,Confirmed,0.626,0.037,0.037,,,,1.212,0.082,0.113,3.257215,7e-06,7e-06,0.0434,0.0007,0.0007,0.051,0.033,0.033,88.0,0.9,0.9,0.00011,2011,2014-05-25,233.0,90.0,90.0,,,,,,,2455417.59832,0.00053,0.00053,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,,,,,HAT-P-28,13.0,34.7283333,13.03,,,,,395.0,26.0,26.0,0.12,0.08,0.08,1.025,0.047,0.047,1.103,0.069,0.069,G3,6.1,1.9,1.9,5680.0,90.0,90.0,,,
HAT-P-29 b,Confirmed,0.778,0.04,0.076,,,,1.107,0.082,0.136,5.723186,4.9e-05,4.9e-05,0.0667,0.0008,0.0008,0.095,0.047,0.047,87.1,0.7,0.5,0.000207,2011,2018-12-17,169.0,30.0,30.0,,,,,,,2455197.5754,0.00181,0.00181,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,,,,,HAT-P-29,33.1291667,51.7788889,11.9,,,,,322.0,21.0,21.0,0.21,0.08,0.08,1.207,0.046,0.046,1.224,0.075,0.075,F8,2.2,1.0,1.0,6087.0,88.0,88.0,,,
HAT-P-3 b,Confirmed,0.591,0.018,0.018,,,,0.827,0.055,0.055,2.899703,5.4e-05,5.4e-05,0.03866,0.00041,0.00041,0.0,0.0,0.0,87.07,0.55,0.55,0.000297,2007,2013-05-07,,,,,,,,,,2454856.70118,0.0001,0.0001,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,,,,,HAT-P-3,206.0958333,48.0286111,11.86,,9.936,9.542,9.448,130.0,10.0,10.0,0.41,0.08,0.08,0.917,0.03,0.03,0.799,0.039,0.039,K,1.6,1.3,1.3,5224.0,69.0,69.0,,,
HAT-P-30 b,Confirmed,0.711,0.028,0.028,,,,1.34,0.065,0.065,2.810595,5e-06,5e-06,0.0419,0.0005,0.0005,0.035,0.024,0.024,83.6,0.4,0.4,0.000217,2011,2018-07-24,252.0,84.0,84.0,,,,,,,2455456.46561,0.00037,0.00037,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,,,WASP-51 b,,HAT-P-30,123.95,5.8366667,10.42,,,,,193.0,8.0,8.0,-0.08,0.08,0.08,1.18,0.03,0.03,1.33,0.03,0.03,F,1.0,0.5,0.5,6250.0,100.0,100.0,,,WASP-51
HAT-P-31 b,Confirmed,2.171,0.077,0.105,,,,1.07,0.16,0.24,5.005425,9.2e-05,9.1e-05,0.055,0.015,0.015,0.245,0.0045,0.0045,87.1,2.7,2.7,0.000155,2011,2018-12-17,274.3,1.8,1.8,,,,,,,2454320.8866,0.0053,0.0053,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,,,,,HAT-P-31,271.5375,26.4266667,11.66,,,,,354.0,51.0,51.0,0.15,0.08,0.08,1.218,0.063,0.063,1.36,0.18,0.18,,3.17,1.11,1.11,6065.0,100.0,100.0,,,
HAT-P-32 b,Confirmed,0.75,0.13,0.13,,,,1.789,0.025,0.025,2.15000825,1.2e-07,1.2e-07,0.03427,0.00042,0.0004,0.044,0.044,0.0,88.9,0.4,0.4,0.000108,2011,2021-04-13,,,,,,,,,,2454420.44645,9e-05,9e-05,,,,,,,,,,,,,108.0,18.0,18.0,,,,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,,HAT-P-32,31.04166667,46.6877778,11.29,,,,,320.0,16.0,16.0,-0.16,0.08,0.08,1.176,0.07,0.07,1.387,0.067,0.067,F/G,3.8,0.5,0.5,6001.0,88.0,88.0,,,
HAT-P-33 b,Confirmed,0.763,0.117,0.117,,,,1.827,0.29,0.29,3.474474,1e-06,1e-06,0.0503,0.0011,0.0011,0.148,0.081,0.081,86.7,1.2,1.2,0.00012,2011,2013-05-31,96.0,119.0,119.0,,,,,,,2455100.50255,0.00023,0.00023,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,,,,,HAT-P-33,113.1833333,33.835,11.89,,,,,419.0,66.0,66.0,0.05,0.08,0.08,1.403,0.096,0.096,1.777,0.28,0.28,F,2.4,0.4,0.4,6401.0,88.0,88.0,,,
HAT-P-34 b,Confirmed,3.328,0.211,0.211,,,,1.107,0.092,0.092,5.452654,1.6e-05,1.6e-05,0.0677,0.0008,0.0008,0.441,0.052,0.052,87.1,1.2,1.2,0.000263,2012,2018-12-17,20.0,14.0,14.0,,,,,,,2455431.59629,0.00055,0.00055,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,,,,,HAT-P-34,303.1958333,18.105,10.16,,,,,257.0,17.0,17.0,0.08,0.05,0.05,1.36,0.01,0.01,1.45,0.11,0.11,,1.7,0.5,0.5,6509.0,51.0,51.0,,,
HAT-P-35 b,Confirmed,1.054,0.033,0.033,,,,1.332,0.098,0.098,3.646706,2.1e-05,2.1e-05,0.0498,0.0006,0.0006,0.025,0.018,0.018,87.3,1.0,1.0,9.3e-05,2012,2018-12-17,248.0,93.0,93.0,,,,,,,2455578.66081,0.0005,0.0005,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,,,,,HAT-P-35,123.25,4.7869444,12.46,,,,,535.0,32.0,32.0,0.11,0.08,0.08,1.236,0.048,0.048,1.435,0.084,0.084,,3.5,0.5,0.5,6096.0,88.0,88.0,,,
HAT-P-36 b,Confirmed,1.832,0.099,0.099,,,,1.264,0.071,0.071,1.327347,3e-06,3e-06,0.0238,0.0004,0.0004,0.063,0.032,0.032,86.0,1.3,1.3,7.5e-05,2012,2012-01-13,95.0,63.0,63.0,,,,,,,2455565.18144,0.0002,0.0002,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,,,,,HAT-P-36,188.2625,44.9152778,12.26,,,,,317.0,17.0,17.0,0.26,0.08,0.08,1.022,0.049,0.049,1.096,0.056,0.056,,6.6,1.8,1.8,5580.0,100.0,100.0,,,
HAT-P-37 b,Confirmed,1.169,0.103,0.103,,,,1.178,0.077,0.077,2.797436,7e-06,7e-06,0.0379,0.0006,0.0006,0.058,0.038,0.038,86.9,0.5,0.5,9.2e-05,2012,2012-01-13,164.0,14.0,14.0,,,,,,,2455641.14318,0.00029,0.00029,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,,,,,HAT-P-37,284.2958333,51.2691667,13.23,,,,,411.0,26.0,26.0,0.03,0.1,0.1,0.929,0.043,0.043,0.877,0.044,0.044,,3.6,2.2,2.2,5500.0,100.0,100.0,,,
HAT-P-38 b,Confirmed,0.267,0.02,0.02,,,,0.825,0.063,0.063,4.640382,3.2e-05,3.2e-05,0.0523,0.0009,0.0009,0.067,0.047,0.047,88.3,0.7,0.7,0.00021,2012,2019-06-14,240.0,104.0,104.0,,,,,,,2455863.11957,0.00035,0.00035,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,,,,,HAT-P-38,35.3830000106,32.2463333484,12.56,,,,,249.0,19.0,19.0,0.06,0.1,0.1,0.886,0.044,0.044,0.923,0.067,0.067,G,10.1,4.8,4.8,5330.0,100.0,100.0,,,"GSC 02314-00559, 2MASS J02213197+3214461"
HAT-P-39 b,Confirmed,0.599,0.099,0.099,,,,1.571,0.081,0.108,3.54387,5e-06,5e-06,0.0509,0.0006,0.0006,,,,87.0,1.0,1.0,,2012,2014-05-21,,,,,,,,,,2455208.75049,0.00041,0.00041,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,,,,,HAT-P-39,113.7583,17.83,11.422,,,,,642.0,29.0,29.0,0.19,0.1,0.1,1.404,0.051,0.051,1.625,0.062,0.081,,2.0,0.4,0.4,6430.0,100.0,100.0,,,
HAT-P-4 b,Confirmed,0.68,0.04,0.04,,,,1.27,0.05,0.05,3.0565114,2.8e-06,2.8e-06,0.0446,0.0012,0.0012,0.0,,,89.67,0.3,0.3,0.000144,2007,2013-05-07,,,,,,,,,,2454502.56227,0.00021,0.00021,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,,,,,HAT-P-4,229.9916667,36.2297222,11.2,,,,,310.0,30.0,30.0,0.2,0.08,0.08,1.26,0.14,0.14,1.59,0.07,0.07,F,4.2,-0.6,-0.6,5890.0,67.0,67.0,,,
HAT-P-40 b,Confirmed,0.615,0.038,0.038,,,,1.73,0.062,0.062,4.457243,1e-05,1e-05,0.0608,0.0015,0.0006,,,,88.3,0.9,0.9,,2012,2014-07-10,,,,,,,,,,2455813.17584,0.00054,0.00054,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,,,,,HAT-P-40,335.5125,45.4575,11.699,,,,,501.0,16.0,16.0,0.22,0.1,0.1,1.512,0.109,0.045,2.206,0.061,0.061,,2.7,0.3,0.9,6080.0,100.0,100.0,,,
HAT-P-41 b,Confirmed,0.8,0.102,0.102,,,,1.685,0.051,0.076,2.694047,4e-06,4e-06,0.0426,0.0005,0.0005,,,,87.7,1.0,1.0,,2012,2020-10-20,,,,,,,,,,2454983.86167,0.00107,0.00107,,,,338.0,6.0,0.8,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,,,,"Al, C, Na, O I, Ti, V",HAT-P-41,297.3208,4.6725,11.087,,,,,344.0,8.0,12.0,0.13,0.05,0.05,1.28,0.09,0.09,1.19,0.08,0.08,,2.2,0.4,0.4,6479.0,51.0,51.0,,,
HAT-P-42 b,Confirmed,0.975,0.126,0.126,,,,1.277,0.149,0.149,4.641876,3.2e-05,3.2e-05,0.0575,0.0011,0.0011,0.0,,,85.9,0.8,1.3,,2012,2018-12-17,,,,,,,,,,2455952.52606,0.00077,0.00077,,,,,,,,,,,,,,,,1427.0,,,,,,,,3.17,Submitted to a professional journal,Primary Transit,,,,,HAT-P-42,135.3458,6.0972,12.168,,10.96,,,447.0,40.0,40.0,0.27,0.08,0.08,1.179,0.067,0.067,1.528,0.136,0.136,,5.1,0.7,1.8,5743.0,50.0,50.0,,,
HAT-P-43 b,Confirmed,0.66,0.083,0.083,,,,1.283,0.034,0.057,3.332688,1.6e-05,1.6e-05,0.0443,0.0006,0.0004,0.0,,,88.7,0.7,0.7,,2012,2018-12-17,,,,,,,,,,2455997.37105,0.00033,0.00033,,,,,,,,,,,,,,,,1361.0,,,,,,,,,Submitted to a professional journal,Primary Transit,,,,,HAT-P-43,128.925,10.2067,13.36,,,,,543.0,18.0,18.0,0.23,0.08,0.08,1.048,0.042,0.031,1.104,0.022,0.036,,5.7,1.1,1.9,5645.0,74.0,74.0,,,
HAT-P-44 b,Confirmed,0.392,0.031,0.031,,,,1.28,0.074,0.145,4.301217,1.8e-05,1.8e-05,0.0507,0.0007,0.0007,0.072,0.071,0.071,89.0,0.5,0.5,,2013,2018-12-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,,,,,HAT-P-44,213.1458,47.0147,13.212,,,,,374.0,23.0,42.0,0.33,0.1,0.1,0.939,0.041,0.041,0.979,0.11,0.055,,8.9,3.9,3.9,5295.0,100.0,100.0,,,
HAT-P-45 b,Confirmed,0.892,0.099,0.137,,,,1.426,0.087,0.175,3.128992,1e-05,1e-05,0.0452,0.0007,0.0007,0.049,0.063,0.063,87.8,0.9,0.9,,2013,2018-12-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,,,,,HAT-P-45,274.375,-3.3811,12.794,,,,,305.0,17.0,35.0,0.07,0.1,0.1,1.259,0.058,0.058,1.319,0.072,0.155,,2.0,0.8,0.8,6330.0,100.0,100.0,,,
HAT-P-46 b,Confirmed,0.493,0.052,0.082,,,,1.284,0.133,0.271,4.463129,4.8e-05,4.8e-05,0.0577,0.0009,0.0014,0.123,0.12,0.12,85.5,2.3,0.8,,2013,2018-12-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,,,,,HAT-P-46,270.4458,-2.9708333,11.936,,,,,296.0,29.0,61.0,0.3,0.1,0.1,1.284,0.06,0.095,1.396,0.136,0.293,,2.5,1.0,0.7,6120.0,100.0,100.0,,,
HAT-P-47 b,Confirmed,0.206,0.039,0.039,,,,1.313,0.045,0.045,4.732182,1.3e-05,1.3e-05,0.0615,0.0006,0.0006,0.0,,,84.8,0.2,0.2,,2016,2017-06-25,,,,,,,,,,2455661.63669,0.00041,0.00041,,,,,,,0.794,0.011,0.011,,,,19.9,3.8,3.8,,,,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,,HAT-P-47,38.308333338,30.360555571,10.6,,,,,268.0,7.0,7.0,0.0,0.08,0.08,1.387,0.038,0.038,1.515,0.04,0.04,,1.5,0.3,0.3,6703.0,50.0,50.0,,,
HAT-P-48 b,Confirmed,0.168,0.024,0.024,,,,1.131,0.054,0.054,4.40865,8e-06,8e-06,0.0543,0.0007,0.0007,0.0,,,86.8,0.3,0.5,,2016,2017-06-25,,,,,,,,,,2455839.21023,0.00029,0.00029,,,,,,,0.281,0.057,0.04,,,,19.6,2.8,2.8,,,,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,,HAT-P-48,44.470833351,30.625833353,12.16,,,,,305.0,12.0,12.0,0.02,0.08,0.08,1.099,0.041,0.041,1.223,0.046,0.046,,4.7,0.8,1.3,5946.0,50.0,50.0,,,
HAT-P-49 b,Confirmed,1.73,0.205,0.205,,,,1.413,0.077,0.128,2.691548,6e-06,6e-06,0.0438,0.0005,0.0005,0.0,,,86.2,1.7,1.7,,2014,2014-05-21,,,,,,,,,,2456399.62406,0.00063,0.00063,,,,,,,,,,,,,,,,2131.0,,,,,,,,,Published in a refereed paper,Primary Transit,,,,,HAT-P-49,305.441666682,26.692777799,10.21,,,,,322.0,24.0,13.0,0.074,0.08,0.08,1.543,0.051,0.051,1.833,0.138,0.076,A5,1.5,0.2,0.2,6820.0,52.0,52.0,,,
HAT-P-5 b,Confirmed,1.06,0.11,0.11,,,,1.252,0.05,0.05,2.788491,2.5e-05,2.5e-05,0.04079,0.00076,0.00076,0.0,,,86.75,0.44,0.44,0.00012,2007,2019-06-14,,,,,,,,,,2454241.77663,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,,,,,HAT-P-5,274.405412512,36.6213555716,12.0,11.3,,,,340.0,30.0,30.0,0.24,0.15,0.15,1.163,0.065,0.065,1.137,0.007,0.007,,1.7,1.4,1.4,5960.0,100.0,100.0,,,
HAT-P-50 b,Confirmed,1.36,0.075,0.075,1.35,0.073,0.073,1.288,0.064,0.064,3.1220109,6.5e-06,6.5e-06,0.0453,0.0014,0.00058,0.115,0.115,0.0,83.65,0.57,0.57,,2015,2015-07-27,,,,,,,,,,2456285.90993,0.00036,0.00036,2456287.47093,0.00036,0.00036,,,,0.629,0.032,0.041,,,,161.3,5.6,5.6,1862.0,,,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,,HAT-P-50,118.062500005,28.139444452,11.76,,,,,597.0,21.0,21.0,-0.18,0.08,0.08,1.273,0.049,0.115,1.698,0.071,0.071,,3.37,1.44,0.27,6280.0,49.0,49.0,,,"2MASS 07521521+1208218, GSC 0787-00340"
HAT-P-51 b,Confirmed,0.309,0.018,0.018,0.309,0.018,0.018,1.293,0.054,0.054,4.2180278,5.9e-06,5.9e-06,0.05069,0.00049,0.00049,0.123,0.123,0.0,88.48,0.57,0.57,,2015,2015-08-17,,,,,,,,,,2456194.12204,0.0004,0.0004,2456196.23106,0.0004,0.0004,,,,0.277,0.085,0.119,,,,39.5,2.2,2.2,1192.0,,,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,,HAT-P-51,21.066666672,32.810833358,13.44,,,,,470.0,16.0,16.0,0.27,0.08,0.08,0.976,0.028,0.028,1.041,0.038,0.029,,8.2,1.7,1.7,5449.0,50.0,50.0,,,"2MASS 01241564+3248387, GSC 2296-00637"
HAT-P-52 b,Confirmed,0.819,0.03,0.03,0.818,0.029,0.029,1.009,0.072,0.072,2.7535953,9.4e-06,9.4e-06,0.03694,0.00038,0.00038,0.047,0.047,0.0,87.02,0.86,0.86,,2015,2018-12-17,,,,,,,,,,2455852.10329,0.00041,0.00041,2455853.43006,0.00041,0.00041,,,,0.461,0.122,0.094,,,,128.4,3.8,3.8,1218.0,,,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,,HAT-P-52,42.720833351,29.022500005,14.07,,,,,385.0,21.0,21.0,0.28,0.08,0.08,0.887,0.027,0.027,0.893,0.047,0.047,,9.4,4.1,4.1,5131.0,50.0,50.0,,,"2MASS 02505320+2901206, GSC 1793-01136"
HAT-P-53 b,Confirmed,1.487,0.058,0.059,1.484,0.056,0.056,1.318,0.091,0.091,1.9616241,3.9e-06,3.9e-06,0.03159,0.00052,0.00052,0.134,0.134,0.0,86.2,1.5,1.5,,2015,2015-08-17,,,,,,,,,,2455829.44781,0.00044,0.00044,2455830.42863,0.00044,0.00044,,,,0.38,0.15,0.11,,,,226.8,6.0,6.0,1778.0,,,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,,HAT-P-53,21.870833343,38.968055576,13.73,,,,,719.0,43.0,43.0,0.0,0.08,0.08,1.093,0.043,0.043,1.209,0.081,0.062,,4.67,1.45,0.83,5956.0,50.0,50.0,,,"2MASS 01272906+3858053, GSC 2813-01266"
HAT-P-54 b,Confirmed,0.76,0.032,0.032,,,,0.944,0.028,0.028,3.799847,1.4e-05,1.4e-05,0.04117,0.00043,0.00043,0.074,0.074,0.0,87.04,0.084,0.084,,2014,2020-06-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,,,,H2S,HAT-P-54,99.8980416785,25.4825277998,13.505,,,,,135.8,3.5,3.5,-0.127,0.08,0.08,0.645,0.02,0.02,0.617,0.013,0.013,K,3.9,2.1,4.3,4390.0,50.0,50.0,,,
